titles,links
Efficacy of photodynamic therapy versus antibiotics as an adjunct to scaling and root planing in the treatment of periodontitis: A systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/28502875/
There are probably no benefits from using ozone as an adjuvant to scaling and root planing in patients with chronic periodontitis.,https://pubmed.ncbi.nlm.nih.gov/31053236/
Impact of diabetes on clinical periodontal outcomes following non-surgical periodontal therapy.,https://pubmed.ncbi.nlm.nih.gov/30536853/
Indices for measuring periodontitis: a literature review.,https://pubmed.ncbi.nlm.nih.gov/21554276/
Effect of periodontal dressing on non-surgical periodontal treatment outcomes: a systematic review.,https://pubmed.ncbi.nlm.nih.gov/25721470/
Manual and electronic probing of the periodontal attachment level in untreated periodontitis: a systematic review.,https://pubmed.ncbi.nlm.nih.gov/18534736/
[Efficacy of periodontal endoscope-assisted non-surgical treatment for severe and generalized periodontitis].,https://pubmed.ncbi.nlm.nih.gov/32865357/
[Clinical evaluation of Er:YAG laser in the treatment of grade periodontitis with bifurcation lesions].,https://pubmed.ncbi.nlm.nih.gov/33043350/
Effect of photobiomodulation therapy as an adjunct to scaling and root planing in a rat model of ligature-induced periodontitis: a histological and radiographic study.,https://pubmed.ncbi.nlm.nih.gov/31955304/
"Evidence-based, personalised and minimally invasive treatment for periodontitis patients - the new EFP S3-level clinical treatment guidelines.",https://pubmed.ncbi.nlm.nih.gov/33037364/
A systematic review of clinical efficacy of adjunctive antibiotics in the treatment of smokers with periodontitis.,https://pubmed.ncbi.nlm.nih.gov/20583918/
Lactobacillus reuteri associated with scaling and root planing in the treatment of periodontitis in rats submitted to chemotherapy.,https://pubmed.ncbi.nlm.nih.gov/32622257/
Evaluation of Different Local Drug Delivery Systems in the Management of Chronic Periodontitis: A Comparative Study.,https://pubmed.ncbi.nlm.nih.gov/32434975/
The effect of the systemic folic acid intake as an adjunct to scaling and root planing on clinical parameters and homocysteine and C-reactive protein levels in gingival crevicular fluid of periodontitis patients: A randomized placebo-controlled clinical trial.,https://pubmed.ncbi.nlm.nih.gov/32109317/
Local delivery therapies as adjuvants to non-surgical periodontal treatment of periodontitis grade C: a systematic review.,https://pubmed.ncbi.nlm.nih.gov/33070281/
Effects of a full-mouth disinfection protocol on the treatment of type-2 diabetic and non-diabetic subjects with mild-to-moderate periodontitis: one-year clinical outcomes.,https://pubmed.ncbi.nlm.nih.gov/31102044/
Systemic antibiotics in periodontal therapy.,https://pubmed.ncbi.nlm.nih.gov/19737272/
Effect of non-surgical periodontal treatment on gingival crevicular fluid and serum leptin levels in periodontally healthy chronic periodontitis and chronic periodontitis patients with type 2 diabetes mellitus.,https://pubmed.ncbi.nlm.nih.gov/31172690/
Patients are not equally susceptible to periodontitis: does this change dental practice and the dental curriculum?,https://pubmed.ncbi.nlm.nih.gov/11518250/
Evaluation of efficacy of non-thermal atmospheric pressure plasma in treatment of periodontitis: a randomized controlled clinical trial.,https://pubmed.ncbi.nlm.nih.gov/31897708/
Comparative estimation of sulfiredoxin levels between chronic periodontitis and healthy patients - A case-control study.,https://pubmed.ncbi.nlm.nih.gov/30044495/
Adjunctive effects of laser therapy on somatosensory function and vasomotor regulation of periodontal tissues in patients with periodontitis: A randomized controlled clinical trial.,https://pubmed.ncbi.nlm.nih.gov/32146720/
"Treatment of gingivitis and periodontitis. Research, Science and Therapy Committee of the American Academy of Periodontology.",https://pubmed.ncbi.nlm.nih.gov/9444602/
"Local application of curcumin-loaded nanoparticles as an adjunct to scaling and root planing in periodontitis: Randomized, placebo-controlled, double-blind split-mouth clinical trial.",https://pubmed.ncbi.nlm.nih.gov/33125518/
BDNF/HMW-HA complex as an adjunct to nonsurgical periodontal treatment of ligature-induced periodontitis in dogs.,https://pubmed.ncbi.nlm.nih.gov/30030840/
Diagnosis of periodontitis by physical measurement: interpretation from episodic disease hypothesis.,https://pubmed.ncbi.nlm.nih.gov/1573551/
Advantages and limitations of nonsurgical periodontal therapy in the management of chronic periodontitis.,https://pubmed.ncbi.nlm.nih.gov/11212409/
Antibiotics in the treatment of periodontitis.,https://pubmed.ncbi.nlm.nih.gov/15554049/
Clinical and Biochemical Valuation of Enzymatic and Nonenzymatic Stress Markers Following Full-mouth Disinfection in Aggressive Periodontitis.,https://pubmed.ncbi.nlm.nih.gov/31797853/
A systematic review on the clinical efficacy of subgingival debridement in the treatment of chronic periodontitis.,https://pubmed.ncbi.nlm.nih.gov/12787207/
Different applications forms of green tea (Camellia sinensis (L.) Kuntze) for the treatment of periodontitis: a systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/33729563/
Five-year results of nonsurgical treatment to manage severe generalized aggressive periodontitis.,https://pubmed.ncbi.nlm.nih.gov/30574612/
Comparison of glycated hemoglobin levels in individuals without diabetes and with and without periodontitis before and after non-surgical periodontal therapy.,https://pubmed.ncbi.nlm.nih.gov/24968250/
American Academy of Periodontology Task Force Report on the Update to the 1999 Classification of Periodontal Diseases and Conditions.,https://pubmed.ncbi.nlm.nih.gov/26125117/
Ultrasonic instruments and antimicrobial agents in supportive periodontal treatment and retreatment of recurrent or refractory periodontitis.,https://pubmed.ncbi.nlm.nih.gov/9567998/
Prognosis versus actual outcome: a long-term survey of 100 treated periodontal patients under maintenance care.,https://pubmed.ncbi.nlm.nih.gov/2002432/
Commentary: Is There Clinical Benefit From Using a Diode or Neodymium:Yttrium-Aluminum-Garnet Laser in the Treatment of Periodontitis?,https://pubmed.ncbi.nlm.nih.gov/27181116/
Outcomes After 25 Years of Periodontal Treatment and Maintenance of a Patient Affected by Generalized Severe Aggressive Periodontitis.,https://pubmed.ncbi.nlm.nih.gov/29641623/
Professional tooth cleaning prior to non-surgical periodontal therapy: A randomized clinical trial.,https://pubmed.ncbi.nlm.nih.gov/31376167/
[The curative effect of rhubarb extract on severe periodontitis in patients with diabetes mellitus].,https://pubmed.ncbi.nlm.nih.gov/30899946/
Efficacy of combined orthodontic-periodontic treatment for patients with periodontitis and its effect on inflammatory cytokines: A comparative study.,https://pubmed.ncbi.nlm.nih.gov/28962734/
[Clinical and laboratory grounding of using medication based on the antiseptic troklosene to treat patients with chronic generalized periodontitis of the ii and iii degrees of severity].,https://pubmed.ncbi.nlm.nih.gov/30099423/
Design issues specific to studies of periodontitis.,https://pubmed.ncbi.nlm.nih.gov/1507028/
Boric acid probably increases clinical attachment level and reduces probing depth and intrabony defect depth when used as an adjunct to scaling and root planing in patients with chronic periodontitis.,https://pubmed.ncbi.nlm.nih.gov/28732584/
Recolonization of a subgingival microbiota following scaling in deep pockets.,https://pubmed.ncbi.nlm.nih.gov/6368611/
Salivary-soluble CD44 levels in smokers and non-smokers with chronic periodontitis: a pilot study.,https://pubmed.ncbi.nlm.nih.gov/20429650/
Effect of two periodontal treatment modalities in patients with uncontrolled type 2 diabetes mellitus: A randomized clinical trial.,https://pubmed.ncbi.nlm.nih.gov/30024030/
Limited evidence shows short-term benefit of probiotics when used as an adjunct to scaling and root planing in the treatment of chronic periodontitis.,https://pubmed.ncbi.nlm.nih.gov/29269825/
[Closed or open periodontitis treatment. A review of the literature].,https://pubmed.ncbi.nlm.nih.gov/7973551/
Understanding the pathogenesis of periodontitis: a century of discovery.,https://pubmed.ncbi.nlm.nih.gov/12666962/
Efficacy of the additional use of subgingival air polishing with erythritol powder in the treatment of periodontitis patients: a randomized controlled clinical trial.,https://pubmed.ncbi.nlm.nih.gov/33404760/
Knowledge of periodontitis and self-perceived oral health: a survey of periodontal specialist patients.,https://pubmed.ncbi.nlm.nih.gov/23721037/
A public health perspective on personalized periodontics.,https://pubmed.ncbi.nlm.nih.gov/30198135/
Treatment of rapidly progressive periodontitis: a review and case report.,https://pubmed.ncbi.nlm.nih.gov/11692336/
[Treatment and prognosis in periodontitis in the area of a bi- and trifurcation].,https://pubmed.ncbi.nlm.nih.gov/6958446/
Periodontitis associated with chronic renal failure: a case report.,https://pubmed.ncbi.nlm.nih.gov/8959571/
A comparison between conventional gingivectomy and a non-surgical regime in the treatment of periodontitis.,https://pubmed.ncbi.nlm.nih.gov/787013/
[Isolation of periodontal bacteria from blood samples and atheromas in patients with atherosclerosis and periodontitis].,https://pubmed.ncbi.nlm.nih.gov/18064365/
Subgingivally applied minocycline microgranules in subjects with chronic periodontitis: A randomized clinical and microbiological trial.,https://pubmed.ncbi.nlm.nih.gov/26355881/
"Subgingivally delivered 1.2% atorvastatin in the treatment of chronic periodontitis among smokers: a randomized, controlled clinical trial.",https://pubmed.ncbi.nlm.nih.gov/26988864/
Antibiotics as the only therapy of untreated chronic periodontitis: a critical commentary.,https://pubmed.ncbi.nlm.nih.gov/17092246/
Clinical and microbiologic effect of nonsurgical periodontal therapy on patients with chronic or aggressive periodontitis.,https://pubmed.ncbi.nlm.nih.gov/23757461/
Periodontics: BPE scores.,https://pubmed.ncbi.nlm.nih.gov/24762871/
Effectiveness of antimicrobial adjuncts to scaling and root-planing therapy for periodontitis.,https://pubmed.ncbi.nlm.nih.gov/15164672/
Local and systemic antimicrobial therapy in periodontics.,https://pubmed.ncbi.nlm.nih.gov/23040339/
Surgical pocket therapy.,https://pubmed.ncbi.nlm.nih.gov/9118272/
Diagnosis of periodontal diseases.,https://pubmed.ncbi.nlm.nih.gov/1819278/
Root curettage and gingival repair in periodontitis.,https://pubmed.ncbi.nlm.nih.gov/3279178/
Clinical Audit of Minimally Invasive Nonsurgical Techniques in Active Periodontal Therapy.,https://pubmed.ncbi.nlm.nih.gov/32584282/
Full mouth periodontal debridement with or without adjunctive metronidazole gel in smoking patients with chronic periodontitis: A pilot study.,https://pubmed.ncbi.nlm.nih.gov/25900347/
[Clinical effect of minocycline as adjunctive therapy to scaling and root planning on treatment of chronic periodontitis].,https://pubmed.ncbi.nlm.nih.gov/16541651/
Detection and prediction of tooth mobility during the periodontitis healing process.,https://pubmed.ncbi.nlm.nih.gov/14675952/
Commentary: the evolution of periodontology: science always wins.,https://pubmed.ncbi.nlm.nih.gov/25255151/
"Scaling and Root Planing per Quadrant Versus One-Stage Full-Mouth Disinfection: Assessment of the Impact of Chronic Periodontitis Treatment on Quality of Life--A Clinical Randomized, Controlled Trial.",https://pubmed.ncbi.nlm.nih.gov/26376944/
"Adjunctive Local Delivery of Aloe Vera Gel in Patients With Type 2 Diabetes and Chronic Periodontitis: A Randomized, Controlled Clinical Trial.",https://pubmed.ncbi.nlm.nih.gov/26447752/
The effects of topical erythropoietin on non-surgical treatment of periodontitis: a preliminary study.,https://pubmed.ncbi.nlm.nih.gov/33957902/
Periodontal treatment does not result in detectable platelet activation in vivo.,https://pubmed.ncbi.nlm.nih.gov/31468260/
"Pre- and post-treatment experiences of fear, anxiety, and pain among chronic periodontitis patients treated by scaling and root planing per quadrant versus one-stage full-mouth disinfection: a 6-month randomized controlled clinical trial.",https://pubmed.ncbi.nlm.nih.gov/26461465/
Clinical and microbiological effects of systemic azithromycin in adjunct to nonsurgical periodontal therapy in treatment of Aggregatibacter actinomycetemcomitans associated periodontitis: a randomized placebo-controlled clinical trial.,https://pubmed.ncbi.nlm.nih.gov/25044531/
The microbiological status of patients with periodontitis in southern Estonia after non-surgical periodontal therapy.,https://pubmed.ncbi.nlm.nih.gov/16254465/
Progression of probing attachment loss in adult periodontitis.,https://pubmed.ncbi.nlm.nih.gov/2027069/
Scaling and root planing.,https://pubmed.ncbi.nlm.nih.gov/26610820/
Non-surgical pocket therapy: mechanical.,https://pubmed.ncbi.nlm.nih.gov/9118268/
[Clinical study of hyaluronic acid in the treatment of chronic periodontitis].,https://pubmed.ncbi.nlm.nih.gov/15017695/
[Maintenance after a complex treatment in a case of generalized aggressive periodontitis: 5-year result].,https://pubmed.ncbi.nlm.nih.gov/22490247/
Longitudinal clinical evaluation of adjunct minocycline in the treatment of chronic periodontitis.,https://pubmed.ncbi.nlm.nih.gov/16460239/
Periodontal therapy reduces arginase activity in saliva of patients with chronic periodontitis.,https://pubmed.ncbi.nlm.nih.gov/17701233/
Impact of Er:YAG laser on wound healing following nonsurgical therapy: A pilot study.,https://pubmed.ncbi.nlm.nih.gov/31249706/
Current concepts in periodontal pathogenesis.,https://pubmed.ncbi.nlm.nih.gov/15656071/
"One stage, full-mouth, ultrasonic debridement in the treatment of severe chronic periodontitis in smokers: a preliminary, blind and randomized clinical trial.",https://pubmed.ncbi.nlm.nih.gov/24079100/
Transmission and colonization of Actinobacillus actinomycetemcomitans in localized juvenile periodontitis patients.,https://pubmed.ncbi.nlm.nih.gov/3857321/
Comparison of treatment response patterns following scaling and root planing in smokers and non-smokers with untreated adult periodontitis.,https://pubmed.ncbi.nlm.nih.gov/11460281/
Gingival curettage.,https://pubmed.ncbi.nlm.nih.gov/4249851/
Effectiveness of ultrasonic instruments in the therapy of severe periodontitis: a comparative clinical-microbiological assessment with curettes.,https://pubmed.ncbi.nlm.nih.gov/16841550/
Topical green tea may result in small benefit on pocket depth when used as adjuvant to scaling and root planing.,https://pubmed.ncbi.nlm.nih.gov/30709549/
The effects of spiramycin and/or scaling on advanced periodontitis in humans.,https://pubmed.ncbi.nlm.nih.gov/8156459/
Effect of topical application of coenzyme Q10 on adult periodontitis.,https://pubmed.ncbi.nlm.nih.gov/7752836/
"Effectiveness of a nutraceutical agent in the non-surgical periodontal therapy: a randomized, controlled clinical trial.",https://pubmed.ncbi.nlm.nih.gov/32556659/
More about scaling and root planing.,https://pubmed.ncbi.nlm.nih.gov/26610821/
Human Clinical and Histologic Evaluations of Laser-Assisted Periodontal Therapy with a 9.3-mum CO2 Laser System.,https://pubmed.ncbi.nlm.nih.gov/32032403/
Patterns of attachment loss in advanced periodontitis patients monitored following initial periodontal treatment.,https://pubmed.ncbi.nlm.nih.gov/8811471/
Tooth loss in patients with moderate periodontitis after treatment and long-term maintenance care.,https://pubmed.ncbi.nlm.nih.gov/2677303/
Clinical and microbiological characteristics of treated periodontitis patients on maintenance care.,https://pubmed.ncbi.nlm.nih.gov/2600753/
The rate of periodontal attachment loss in subjects with established periodontitis.,https://pubmed.ncbi.nlm.nih.gov/8410609/
Clinical efficacy of the Nd:YAG laser for combination periodontitis therapy.,https://pubmed.ncbi.nlm.nih.gov/9573831/
Probiotics and periodontal health.,https://pubmed.ncbi.nlm.nih.gov/22514571/
Associations of cytokine levels in gingival crevicular fluid of mobile teeth with clinical improvement after initial periodontal treatment.,https://pubmed.ncbi.nlm.nih.gov/32132326/
A randomized trial of occlusal adjustment in the treatment of periodontitis patients.,https://pubmed.ncbi.nlm.nih.gov/1634627/
The relationship between probing attachment loss and computerized radiographic analysis in monitoring progression of periodontitis.,https://pubmed.ncbi.nlm.nih.gov/2027061/
Postoperative bleeding tendency as a risk factor in Actinobacillus actinomycetemcomitans-associated periodontitis.,https://pubmed.ncbi.nlm.nih.gov/8254461/
Clinical and microbiological evaluation of the effectiveness of the Nd:Yap laser for the initial treatment of adult periodontitis. A randomized controlled study.,https://pubmed.ncbi.nlm.nih.gov/15882229/
Effects of non-surgical mechanical therapy on the subgingival microbiota of Brazilians with untreated chronic periodontitis: 9-month results.,https://pubmed.ncbi.nlm.nih.gov/15898939/
"Economics of periodontal care: market trends, competitive forces and incentives.",https://pubmed.ncbi.nlm.nih.gov/23574473/
Non-surgical approach to advanced chronic periodontitis: a 17.5-year case report.,https://pubmed.ncbi.nlm.nih.gov/15104133/
[Effective treatment of periodontitis].,https://pubmed.ncbi.nlm.nih.gov/1820527/
Clinical and microbiologic effects of local tetracycline irrigation on periodontitis.,https://pubmed.ncbi.nlm.nih.gov/3290430/
[Treatment of peridontal diseases and reconstruction of the dentition by fixed bridges in cases of severe marginal periodontitis].,https://pubmed.ncbi.nlm.nih.gov/4517499/
Comparison of measurement variability in subjects with moderate periodontitis using a conventional and constant force periodontal probe.,https://pubmed.ncbi.nlm.nih.gov/1573541/
Management of advanced periodontitis. I. Preliminary report of a method of surgical reconstruction.,https://pubmed.ncbi.nlm.nih.gov/5231305/
In vivo investigation of diode laser application on red complex bacteria in non-surgical periodontal therapy: a split-mouth randomised control trial.,https://pubmed.ncbi.nlm.nih.gov/33277607/
[Correlations of orthodontics and periodontics].,https://pubmed.ncbi.nlm.nih.gov/2676790/
Site-specific attachment level change detected by physical probing in untreated chronic adult periodontitis: review of studies 1982-1997.,https://pubmed.ncbi.nlm.nih.gov/10225549/
Cervical cemental tears in older patients with adult periodontitis. Case reports.,https://pubmed.ncbi.nlm.nih.gov/8676267/
A Roadmap towards Precision Periodontics.,https://pubmed.ncbi.nlm.nih.gov/33802358/
Combined periodontal-prosthodontic treatment of early-onset periodontitis--an alternative to implant therapy.,https://pubmed.ncbi.nlm.nih.gov/11203597/
[Effect of low-intensity pulsed ultrasound on periodontitis in Beagle dogs].,https://pubmed.ncbi.nlm.nih.gov/22650027/
Laser use in scaling and root planing.,https://pubmed.ncbi.nlm.nih.gov/26610822/
BSP implementation of European S3 - level evidence-based treatment guidelines for stage I-III periodontitis in UK clinical practice.,https://pubmed.ncbi.nlm.nih.gov/33573801/
Systematic review of the adjunctive use of diode and Nd:YAG lasers for nonsurgical periodontal instrumentation.,https://pubmed.ncbi.nlm.nih.gov/24697584/
Periodontal diseases in children and adolescents: 2. Management.,https://pubmed.ncbi.nlm.nih.gov/11526880/
Effect of nonsurgical periodontal therapy on interleukin-34 levels in periodontal health and disease.,https://pubmed.ncbi.nlm.nih.gov/29900909/
Antibiotics in the treatment of periodontal diseases: microbiological basis and clinical applications.,https://pubmed.ncbi.nlm.nih.gov/19728628/
Pros and cons of periodontal pocket elimination procedures.,https://pubmed.ncbi.nlm.nih.gov/6448981/
Periodontal response to mechanical non-surgical therapy: a review.,https://pubmed.ncbi.nlm.nih.gov/1552465/
The effect of a pulsed Nd:YAG laser in non-surgical periodontal therapy.,https://pubmed.ncbi.nlm.nih.gov/19563283/
Manual periodontal probing in supportive periodontal treatment.,https://pubmed.ncbi.nlm.nih.gov/9567991/
Controlling the plaque biofilm.,https://pubmed.ncbi.nlm.nih.gov/12875308/
"Non-surgical pocket therapy: mechanical, pharmacotherapeutics, and dental occlusion.",https://pubmed.ncbi.nlm.nih.gov/9766120/
[Vacuum therapy in treating periodontitis patients].,https://pubmed.ncbi.nlm.nih.gov/3853064/
Periodontal medicine: the emergence of a new branch of periodontology.,https://pubmed.ncbi.nlm.nih.gov/11276770/
Periodontics: current concepts and emerging trends.,https://pubmed.ncbi.nlm.nih.gov/16965534/
The distal wedge operation.,https://pubmed.ncbi.nlm.nih.gov/5223126/
Periodontal Examination Profiles and Treatment Approaches of a Group of Turkish General Dentists.,https://pubmed.ncbi.nlm.nih.gov/25197730/
Modified distal wedge procedure.,https://pubmed.ncbi.nlm.nih.gov/6932505/
Efficiency of split-mouth designs.,https://pubmed.ncbi.nlm.nih.gov/2262586/
Bacteraemia due to dental flossing.,https://pubmed.ncbi.nlm.nih.gov/19426179/
Depth-force-patterns in periodontal probing.,https://pubmed.ncbi.nlm.nih.gov/3455943/
Changing concepts in periodontics.,https://pubmed.ncbi.nlm.nih.gov/6392508/
[Need for clinical guidelines for chronic periodontitis in general and specialized Belgian practice].,https://pubmed.ncbi.nlm.nih.gov/18717450/
[Periodontics is the foundation for any other dental field].,https://pubmed.ncbi.nlm.nih.gov/22177351/
Managing Severe Periodontal Esthetic Challenges: The Restorative-Surgical Connection.,https://pubmed.ncbi.nlm.nih.gov/26697556/
[Periodontics (5). Juvenile periodontitis--localized juvenile periodontitis].,https://pubmed.ncbi.nlm.nih.gov/3162612/
Periodontal disease diagnosis: current status and future developments.,https://pubmed.ncbi.nlm.nih.gov/9080734/
[The clinical effects of hyperbaric oxygen therapy combined with supragingival and sublingual scaling therapy on periodontitis].,https://pubmed.ncbi.nlm.nih.gov/15568249/
Non-surgical and supportive periodontal therapy: predictors of compliance.,https://pubmed.ncbi.nlm.nih.gov/24813661/
Realignment of periodontally affected maxillary teeth--a periodontist's perspective. Part 1: Treatment rationale and methodology.,https://pubmed.ncbi.nlm.nih.gov/9323896/
Periodontal disease and cancer patients undergoing chemotherapy.,https://pubmed.ncbi.nlm.nih.gov/25181024/
"Current concepts and future trends for periodontal disease and periodontal therapy, Part 2: Classification, diagnosis, and nonsurgical and surgical therapy.",https://pubmed.ncbi.nlm.nih.gov/12524874/
"Retaining periodontally ""hopeless"" teeth.",https://pubmed.ncbi.nlm.nih.gov/8195502/
Conservative periodontics.,https://pubmed.ncbi.nlm.nih.gov/3909024/
Reduction of tooth loss associated with periodontal treatment.,https://pubmed.ncbi.nlm.nih.gov/21845242/
[The long-term results after periodontitis therapy. A retrospective examination].,https://pubmed.ncbi.nlm.nih.gov/8975368/
Diagnosis of periodontal diseases: building a bridge from today's methods to tomorrow's technology.,https://pubmed.ncbi.nlm.nih.gov/7929996/
Management of periodontal disease in general dental practice.,https://pubmed.ncbi.nlm.nih.gov/20669710/
Effectiveness of periodontal treatment on the improvement of inflammatory markers in children.,https://pubmed.ncbi.nlm.nih.gov/24747412/
Periodontal therapy--2001.,https://pubmed.ncbi.nlm.nih.gov/6949100/
Paeeriodontics. The past. Microbiology. Part (III).,https://pubmed.ncbi.nlm.nih.gov/3889070/
Aggressive curettage.,https://pubmed.ncbi.nlm.nih.gov/297000/
Effect of osteoporosis on periodontal therapy among post-menopausal women.,https://pubmed.ncbi.nlm.nih.gov/22420371/
A questionnaire-based study evaluating differences between dental students in Paris (F) and Malmo (SE) regarding diagnosis and treatment decisions of patients with different severity levels of periodontal diseases.,https://pubmed.ncbi.nlm.nih.gov/29316064/
[The periodontal probe and periodontal probing].,https://pubmed.ncbi.nlm.nih.gov/3329637/
The limits of subgingival scaling.,https://pubmed.ncbi.nlm.nih.gov/7047434/
Severe phenytoin-induced gingival enlargement associated with periodontitis.,https://pubmed.ncbi.nlm.nih.gov/18348382/
Guided Tissue Regeneration in Four Teeth Using a Liquid Polymer Membrane.,https://pubmed.ncbi.nlm.nih.gov/28327066/
Longitudinal study of periodontal therapy.,https://pubmed.ncbi.nlm.nih.gov/4509540/
[Clinical and microbiologic follow-up evaluations after non-surgical periodontal treatment with Nd: YAG laser and scaling and root planning].,https://pubmed.ncbi.nlm.nih.gov/29333776/
[Preliminary study of subgingival microorganism changes after glycine powder air-polishing treatment during periodontal maintenance phase].,https://pubmed.ncbi.nlm.nih.gov/29972904/
[The GTR technic within the framework of combined periodontal-orthodontic treatments. A case report].,https://pubmed.ncbi.nlm.nih.gov/8655107/
[The change of secretory leukocyte protease inhibitor and its correlation with elastase in the development of periodontal inflammation].,https://pubmed.ncbi.nlm.nih.gov/22321625/
[Surgical treatment of marginal periodontitis. A brief guide for general dental practitioners].,https://pubmed.ncbi.nlm.nih.gov/5236995/
High-speed filming of the Periotest measurement.,https://pubmed.ncbi.nlm.nih.gov/1634628/
[A comparative analysis of the efficacy of combined treatment in generalized periodontitis of a moderate degree of severity using various splinting designs].,https://pubmed.ncbi.nlm.nih.gov/2202089/
Probing site configuration in patients with untreated periodontitis. A study of horizontal positional error.,https://pubmed.ncbi.nlm.nih.gov/2778087/
Effect of periodontal treatment on peak serum levels of inflammatory markers.,https://pubmed.ncbi.nlm.nih.gov/24452825/
Histometric comparison of active and inactive lesions of advanced periodontitis.,https://pubmed.ncbi.nlm.nih.gov/7045321/
Disease progression in periodontally healthy and maintenance subjects.,https://pubmed.ncbi.nlm.nih.gov/18454656/
Gingival crevicular fluid osteopontin levels in periodontal health and disease.,https://pubmed.ncbi.nlm.nih.gov/17032109/
Trauma from instrumentation after non-surgical periodontal treatment with ultrasonic scalers and Nd:YAG laser.,https://pubmed.ncbi.nlm.nih.gov/25252593/
Evaluation of periodontal therapy in undergraduate courses of the University of Basle. A retrospective study.,https://pubmed.ncbi.nlm.nih.gov/24203410/
Complications associated with diabetes mellitus after guided tissue regeneration: case report.,https://pubmed.ncbi.nlm.nih.gov/9852804/
[Esthetic reconstruction of the anterior teeth area following a combined periodontic-orthodontic treatment in adult periodontal patients].,https://pubmed.ncbi.nlm.nih.gov/25490817/
Bone regeneration in advanced periodontitis lesions after a single episode of root planing--case report with ten-years of follow-up.,https://pubmed.ncbi.nlm.nih.gov/9849047/
[Systematic periodontal treatment from the scientific viewpoint].,https://pubmed.ncbi.nlm.nih.gov/6383782/
Consensus training: an effective tool to minimize variations in periodontal diagnosis and treatment planning among dental faculty and students.,https://pubmed.ncbi.nlm.nih.gov/23929572/
